PHRASES,MEANING,TEMIZ,,
empty out,to remove everything from inside something,empty out,empty out,empty out | to remove everything from inside something
end in,to have a certain result at the end of something,end in,end in,end in | to have a certain result at the end of something
end up,"If you end up being somewhere, or doing something, it's because of decisions you've made in the past.",end up,end up,"end up | If you end up being somewhere, or doing something, it's because of decisions you've made in the past."
end with,to have something act as the final part of something,end with,end with,end with | to have something act as the final part of something
engage in FORMAL,"to become involved in something related to competition or conflict, such as a debate, a battle, or a dispute.",engage in,engage in,"engage in | to become involved in something related to competition or conflict, such as a debate, a battle, or a dispute."
enter into,"to become involved in something like a discussion, an agreement, or a partnership.",enter into,enter into,"enter into | to become involved in something like a discussion, an agreement, or a partnership."
entitle to,"If you are entitled to something, you have the right to have it or the right to do it.",entitle to,entitle to,"entitle to | If you are entitled to something, you have the right to have it or the right to do it."
entrust to,to give somebody responsibility for something of importance or value,entrust to,entrust to,entrust to | to give somebody responsibility for something of importance or value
entrust with,to give someone responsibility for something of importance or value,entrust with,entrust with,entrust with | to give someone responsibility for something of importance or value
even up,to make something more equal or to make it fairer,even up,even up,even up | to make something more equal or to make it fairer
expose to (1),"If you expose someone to something, you introduce them to something they might not otherwise see or experience.",expose to (1),expose to,"expose to | If you expose someone to something, you introduce them to something they might not otherwise see or experience."
expose to (2),to make someone face a danger or a hazard,expose to (2),expose to,expose to | to make someone face a danger or a hazard
extricate from FORMAL,to get someone out of a difficult situation or a dangerous place,extricate from,extricate from,extricate from | to get someone out of a difficult situation or a dangerous place
face up to,"If you face up to a difficult or challenging situation, you accept that you have to deal with it, and then do something about it.",face up to,face up to,"face up to | If you face up to a difficult or challenging situation, you accept that you have to deal with it, and then do something about it."
face with,"If you are faced with something like a problem or a challenge, you have to deal with it.",face with,face with,"face with | If you are faced with something like a problem or a challenge, you have to deal with it."
factor in,to include a certain item when calculating or planning something,factor in,factor in,factor in | to include a certain item when calculating or planning something
fade away,"to slowly become weaker, softer or dimmer",fade away,fade away,"fade away | to slowly become weaker, softer or dimmer"
fall apart,"If something falls apart, it breaks into pieces or parts start falling off.",fall apart,fall apart,"fall apart | If something falls apart, it breaks into pieces or parts start falling off."
fall back on,to use or do something else because what you used or did first has failed,fall back on,fall back on,fall back on | to use or do something else because what you used or did first has failed
fall behind,"If you have fallen behind other people, they have advanced faster than you and they are ahead of you.",fall behind,fall behind,"fall behind | If you have fallen behind other people, they have advanced faster than you and they are ahead of you."
fall for (1),"If you fall for something like a trick or a scam, you believe it's real or genuine even though it's not.",fall for (1),fall for,"fall for | If you fall for something like a trick or a scam, you believe it's real or genuine even though it's not."
fall for (2),"If you fall for someone, you fall in love with them.",fall for (2),fall for,"fall for | If you fall for someone, you fall in love with them."
fall in (1),"If a roof or a ceiling falls in, it falls to the floor because it's been weakened or damaged.",fall in (1),fall in,"fall in | If a roof or a ceiling falls in, it falls to the floor because it's been weakened or damaged."
fall in (2),to form a line by standing side by side or one behind the other,fall in (2),fall in,fall in | to form a line by standing side by side or one behind the other
fall off,to become less in amount or lower in level,fall off,fall off,fall off | to become less in amount or lower in level
fall out (1),"If something falls out, it becomes detached from whatever it's attached to.",fall out (1),fall out,"fall out | If something falls out, it becomes detached from whatever it's attached to."
fall out (2) INFORMAL,"If you and a friend fall out, you are no longer friendly because of a disagreement or a problem you've had.",fall out (2),fall out,"fall out | If you and a friend fall out, you are no longer friendly because of a disagreement or a problem you've had."
fall over,"If someone falls over, they fall to the ground.",fall over,fall over,"fall over | If someone falls over, they fall to the ground."
fall through,"If a plan or a deal falls through, it doesn't work out and it's dropped or scrapped.",fall through,fall through,"fall through | If a plan or a deal falls through, it doesn't work out and it's dropped or scrapped."
farm out,"If you farm out work, you pay people outside your company to do it.",farm out,farm out,"farm out | If you farm out work, you pay people outside your company to do it."
feel for,"If you feel for someone, you have sympathy for them or feel sad because they are suffering.",feel for,feel for,"feel for | If you feel for someone, you have sympathy for them or feel sad because they are suffering."
fight back,"If you fight back, you do what's needed to win a conflict or a battle after being attacked or threatened.",fight back,fight back,"fight back | If you fight back, you do what's needed to win a conflict or a battle after being attacked or threatened."
fight off,to try to stop someone or something from attacking you or hurting you,fight off,fight off,fight off | to try to stop someone or something from attacking you or hurting you
figure out (1),"If you figure something out, you find the solution to a problem or the answer to a question.",figure out (1),figure out,"figure out | If you figure something out, you find the solution to a problem or the answer to a question."
figure out (2),"If you figure somebody out, you know what they're like and how they're likely to act.",figure out (2),figure out,"figure out | If you figure somebody out, you know what they're like and how they're likely to act."
fill in (1),"If you fill in a form, you complete it by writing in the spaces provided.",fill in (1),fill in,"fill in | If you fill in a form, you complete it by writing in the spaces provided."
fill in (2),"If you fill somebody in, you give them the details about something.",fill in (2),fill in,"fill in | If you fill somebody in, you give them the details about something."
fill out,"If you fill out a form, you complete it by writing in the spaces provided.",fill out,fill out,"fill out | If you fill out a form, you complete it by writing in the spaces provided."
fill up (1),"If you fill something up, you make it full.",fill up (1),fill up,"fill up | If you fill something up, you make it full."
fill up (2),to fill someone's stomach with food,fill up (2),fill up,fill up | to fill someone's stomach with food
find out,to discover a fact or information about something,find out,find out,find out | to discover a fact or information about something
finish off,"to complete something, or to eat the last piece of something",finish off,finish off,"finish off | to complete something, or to eat the last piece of something"
finish up,to be in a certain place or situation after a long series of events or a long time,finish up,finish up,finish up | to be in a certain place or situation after a long series of events or a long time
finish with,"If you've finished with something, you've done what you needed to do with it and you no longer need it.",finish with,finish with,"finish with | If you've finished with something, you've done what you needed to do with it and you no longer need it."
fire up,"to create enthusiasm or excitement, usually among a group of people or a crowd",fire up,fire up,"fire up | to create enthusiasm or excitement, usually among a group of people or a crowd"
fit in (1),"to have enough space for something, or to have enough time for something",fit in (1),fit in,"fit in | to have enough space for something, or to have enough time for something"
fit in (2),"If you fit in, you are accepted by a group of people and seen as ""one of them"".",fit in (2),fit in,"fit in | If you fit in, you are accepted by a group of people and seen as ""one of them""."
fit together,to connect pieces that go together to make something,fit together,fit together,fit together | to connect pieces that go together to make something
fix up (1),"to repair something or to improve the condition of something, especially something old or second-hand",fix up (1),fix up,"fix up | to repair something or to improve the condition of something, especially something old or second-hand"
fix up (2) INFORMAL,to arrange something for someone,fix up (2),fix up,fix up | to arrange something for someone
fizzle out,"If something fizzles out, it slowly loses its power or strength, and then ends weakly.",fizzle out,fizzle out,"fizzle out | If something fizzles out, it slowly loses its power or strength, and then ends weakly."
flare up,"If something like a conflict or an illness flares up, it suddenly becomes worse.",flare up,flare up,"flare up | If something like a conflict or an illness flares up, it suddenly becomes worse."
flick through,"If you flick through a book or a magazine, you have a quick look at a few of the pages.",flick through,flick through,"flick through | If you flick through a book or a magazine, you have a quick look at a few of the pages."
flood in,"If things flood in, they come quickly and in great numbers.",flood in,flood in,"flood in | If things flood in, they come quickly and in great numbers."
fob off (1) INFORMAL,to give someone something of low quality or little value,fob off (1),fob off,fob off | to give someone something of low quality or little value
fob off (2) INFORMAL,"to try to make someone stop complaining or stop bothering you by telling them something that isn't true, or by giving them an excuse",fob off (2),fob off,"fob off | to try to make someone stop complaining or stop bothering you by telling them something that isn't true, or by giving them an excuse"
focus on,"If you focus on something, you give it all your attention.",focus on,focus on,"focus on | If you focus on something, you give it all your attention."
follow through,"to continue something to the next stage, or to complete something",follow through,follow through,"follow through | to continue something to the next stage, or to complete something"
follow up,to do something in addition to what's already been done in order to complete or continue a process or a deal,follow up,follow up,follow up | to do something in addition to what's already been done in order to complete or continue a process or a deal
fool around,"If you're fooling around, you're having fun by joking and being a bit silly.",fool around,fool around,"fool around | If you're fooling around, you're having fun by joking and being a bit silly."
force into,to make someone do something they don't want to do,force into,force into,force into | to make someone do something they don't want to do
forge ahead,to make rapid progress toward a goal,forge ahead,forge ahead,forge ahead | to make rapid progress toward a goal
freak out INFORMAL,"If someone freaks out, they get very scared or upset by something.",freak out,freak out,"freak out | If someone freaks out, they get very scared or upset by something."
free up,to make someone or something available by releasing them from their usual duties or function,free up,free up,free up | to make someone or something available by releasing them from their usual duties or function
freshen up,"If you freshen up, you wash your face and hands and make yourself look and feel better.",freshen up,freshen up,"freshen up | If you freshen up, you wash your face and hands and make yourself look and feel better."
frighten away,"If you frighten away something or someone, you make them go away by making them feel afraid.",frighten away,frighten away,"frighten away | If you frighten away something or someone, you make them go away by making them feel afraid."
frown on,to disapprove of something,frown on,frown on,frown on | to disapprove of something
function as,"to be used for a particular purpose, or to work in a particular way",function as,function as,"function as | to be used for a particular purpose, or to work in a particular way"
fuss over,to give someone lots of attention to show how much you like them or how important you think they are,fuss over,fuss over,fuss over | to give someone lots of attention to show how much you like them or how important you think they are
gather around,"If people gather around, they form a group or a small crowd around something or someone.",gather around,gather around,"gather around | If people gather around, they form a group or a small crowd around something or someone."
get across,to communicate something or make something understood by others,get across,get across,get across | to communicate something or make something understood by others
get ahead,"If you get ahead, you make progress in your career.",get ahead,get ahead,"get ahead | If you get ahead, you make progress in your career."
get along,"If two people get along, they like each other and are friendly.",get along,get along,"get along | If two people get along, they like each other and are friendly."
get around (1),to move from place to place,get around (1),get around,get around | to move from place to place
get around (2),to find a way of avoiding something,get around (2),get around,get around | to find a way of avoiding something
get at (1),to get hold of something,get at (1),get at,get at | to get hold of something
get at (2),to mean or to imply something,get at (2),get at,get at | to mean or to imply something
get away,to leave a place,get away,get away,get away | to leave a place
get away with,to do something illegal or immoral and not get caught or punished,get away with,get away with,get away with | to do something illegal or immoral and not get caught or punished
get back (1),to return to a place,get back (1),get back,get back | to return to a place
get back (2),"If you get something back, it is returned to you after you've lent it, lost it, or had it stolen.",get back (2),get back,"get back | If you get something back, it is returned to you after you've lent it, lost it, or had it stolen."
get by,"to have just enough of something, like money, knowledge or skills, to do what you want to do",get by,get by,"get by | to have just enough of something, like money, knowledge or skills, to do what you want to do"
get down (1),"to move close to the ground, or to move from a higher position to a lower position",get down (1),get down,"get down | to move close to the ground, or to move from a higher position to a lower position"
get down (2),"to quickly write something, often so as not to forget it",get down (2),get down,"get down | to quickly write something, often so as not to forget it"
get down (3),to manage to swallow something that isn't easy to swallow,get down (3),get down,get down | to manage to swallow something that isn't easy to swallow
get in (1),to enter a place or a vehicle,get in (1),get in,get in | to enter a place or a vehicle
get in (2),"If a train or plane gets in, it arrives at its destination.",get in (2),get in,"get in | If a train or plane gets in, it arrives at its destination."
get in (3),"to submit or send something like a document, a form or a report",get in (3),get in,"get in | to submit or send something like a document, a form or a report"
get into (1),"If you get into something like a university, a team, a club, etc., you have succeeded in joining it.",get into (1),get into,"get into | If you get into something like a university, a team, a club, etc., you have succeeded in joining it."
get into (2),to become interested in something or focussed on something,get into (2),get into,get into | to become interested in something or focussed on something
get off (1),to leave a means of transport such as a bus or a train,get off (1),get off,get off | to leave a means of transport such as a bus or a train
get off (2),"to finish work, or have a break from work",get off (2),get off,"get off | to finish work, or have a break from work"
get on (1),"to step onto a bus, train, ship, etc.",get on (1),get on,"get on | to step onto a bus, train, ship, etc."
get on (2),"If two people get on, they have a good relationship and are friendly.",get on (2),get on,"get on | If two people get on, they have a good relationship and are friendly."
get out (1),"to move out of an enclosed space, such as a building or a car",get out (1),get out,"get out | to move out of an enclosed space, such as a building or a car"
get out (2),"If you get something out, you remove it from whatever it's in.",get out (2),get out,"get out | If you get something out, you remove it from whatever it's in."
get out of (1),"If you get out of doing something that you don't want to do, you find a way to avoid doing it, such as by making up an excuse.",get out of (1),get out of,"get out of | If you get out of doing something that you don't want to do, you find a way to avoid doing it, such as by making up an excuse."
get out of (2),to take off clothes because they're uncomfortable or inappropriate,get out of (2),get out of,get out of | to take off clothes because they're uncomfortable or inappropriate
get over,to recover from something like an illness or a shock,get over,get over,get over | to recover from something like an illness or a shock
get through (1),to complete a task,get through (1),get through,get through | to complete a task
get through (2),"If you get through something, you use or eat all of it.",get through (2),get through,"get through | If you get through something, you use or eat all of it."
get through (3),to reach the person you want to talk to when making a telephone call,get through (3),get through,get through | to reach the person you want to talk to when making a telephone call
get together,to meet and spend time together,get together,get together,get together | to meet and spend time together
get up (1),to get out of bed after having been asleep,get up (1),get up,get up | to get out of bed after having been asleep
get up (2),to stand up or to get to one's feet,get up (2),get up,get up | to stand up or to get to one's feet
give away,"If you give away something, you give it to someone without expecting anything in return.",give away,give away,"give away | If you give away something, you give it to someone without expecting anything in return."
give back,"If you give something back, you return it to whoever you got it from.",give back,give back,"give back | If you give something back, you return it to whoever you got it from."
give in,"If somebody gives in, they stop trying to do something like win a game, a fight or an argument.",give in,give in,"give in | If somebody gives in, they stop trying to do something like win a game, a fight or an argument."
give off,"to produce something like a smell, a gas, heat or light",give off,give off,"give off | to produce something like a smell, a gas, heat or light"
give out,"If you give something out, you distribute it to many people, usually by hand.",give out,give out,"give out | If you give something out, you distribute it to many people, usually by hand."
give up (1),"If you give up, you stop trying to do something because it's too hard or because it can't be done.",give up (1),give up,"give up | If you give up, you stop trying to do something because it's too hard or because it can't be done."
give up (2),"If you give up something, you stop doing it because it's bad for you.",give up (2),give up,"give up | If you give up something, you stop doing it because it's bad for you."
go about,"to do something in a certain way, or to deal with something in a certain way",go about,go about,"go about | to do something in a certain way, or to deal with something in a certain way"
go after (1),to chase and try to catch someone or something,go after (1),go after,go after | to chase and try to catch someone or something
go after (2) INFORMAL,to try to get something,go after (2),go after,go after | to try to get something
go against,"to oppose, or disagree with, something or somebody",go against,go against,"go against | to oppose, or disagree with, something or somebody"
go ahead,"to start doing something, or to continue doing something, usually after being given permission or encouragement to do so",go ahead,go ahead,"go ahead | to start doing something, or to continue doing something, usually after being given permission or encouragement to do so"
go along with,to agree with someone or to support something,go along with,go along with,go along with | to agree with someone or to support something
go around (1),to act or dress in a certain way,go around (1),go around,go around | to act or dress in a certain way
go around (2),to be enough for everyone,go around (2),go around,go around | to be enough for everyone
go away (1),to leave or go to another place,go away (1),go away,go away | to leave or go to another place
go away (2),"to stop existing, or to stop being noticeable",go away (2),go away,"go away | to stop existing, or to stop being noticeable"
go back,"to return to a place, a person, a condition, etc.",go back,go back,"go back | to return to a place, a person, a condition, etc."
go beyond,"to be more than, better than, more advanced than, etc.",go beyond,go beyond,"go beyond | to be more than, better than, more advanced than, etc."
go by,"to move past (in space), or pass (in time)",go by,go by,"go by | to move past (in space), or pass (in time)"
go down (1),to become less,go down (1),go down,go down | to become less
go down (2),"to be received in a certain way, or to create a certain reaction",go down (2),go down,"go down | to be received in a certain way, or to create a certain reaction"
go down (3),"When the sun or the moon goes down, it gets lower and lower in the sky until it disappears below the horizon.",go down (3),go down,"go down | When the sun or the moon goes down, it gets lower and lower in the sky until it disappears below the horizon."
go down (4),to be remembered or recorded in some way,go down (4),go down,go down | to be remembered or recorded in some way
go for (1) INFORMAL,to try to get something or achieve something,go for (1),go for,go for | to try to get something or achieve something
go for (2) INFORMAL,"to like a particular type of person, product, style, experience, etc.",go for (2),go for,"go for | to like a particular type of person, product, style, experience, etc."
go for (3),to physically attack a person or an animal,go for (3),go for,go for | to physically attack a person or an animal
go for (4),to be sold for a certain amount of money,go for (4),go for,go for | to be sold for a certain amount of money
go into,to talk about or discuss something in detail,go into,go into,go into | to talk about or discuss something in detail
go off (1),"If something goes off, it stops working because of a power cut.",go off (1),go off,"go off | If something goes off, it stops working because of a power cut."
go off (2),"If a bomb or a firework goes off, it explodes.",go off (2),go off,"go off | If a bomb or a firework goes off, it explodes."
go off (3),"If foods or drinks go off, they go bad and aren't safe to eat or drink.",go off (3),go off,"go off | If foods or drinks go off, they go bad and aren't safe to eat or drink."
go on (1),to happen,go on (1),go on,go on | to happen
go on (2),"to keep happening as before, or to keep doing something",go on (2),go on,"go on | to keep happening as before, or to keep doing something"
go on (3),"If something like a light or a heater goes on, it starts operating.",go on (3),go on,"go on | If something like a light or a heater goes on, it starts operating."
go on (4),"to talk for too long, or talk in such a way that it annoys or bores people",go on (4),go on,"go on | to talk for too long, or talk in such a way that it annoys or bores people"
go on (5),used when encouraging someone to do something,go on (5),go on,go on | used when encouraging someone to do something
go out,to leave your home and go somewhere for enjoyment or entertainment,go out,go out,go out | to leave your home and go somewhere for enjoyment or entertainment
go over (1),"to look carefully at something like a report, essay, document, etc. to check for mistakes or to make improvements",go over (1),go over,"go over | to look carefully at something like a report, essay, document, etc. to check for mistakes or to make improvements"
go over (2),"to review something, or look at it again, in order to learn or memorize it",go over (2),go over,"go over | to review something, or look at it again, in order to learn or memorize it"
go over (3),"to cause a reaction of some sort, especially from an audience",go over (3),go over,"go over | to cause a reaction of some sort, especially from an audience"
go through (1),"to look through a collection of things like documents, books, clothes, etc. to find something or to sort them out",go through (1),go through,"go through | to look through a collection of things like documents, books, clothes, etc. to find something or to sort them out"
go through (2),to live through a bad time or a difficult situation,go through (2),go through,go through | to live through a bad time or a difficult situation
go together (1),"If two things go together, they look good together or they harmonize.",go together (1),go together,"go together | If two things go together, they look good together or they harmonize."
go together (2),"to happen together, or to often occur at the same time",go together (2),go together,"go together | to happen together, or to often occur at the same time"
go under,"If a company goes under, it goes out of business and closes down.",go under,go under,"go under | If a company goes under, it goes out of business and closes down."
go up,"If something like a price or a rate goes up, it becomes higher.",go up,go up,"go up | If something like a price or a rate goes up, it becomes higher."
go with,"If one thing goes with another, they look good together or seems to work well together.",go with,go with,"go with | If one thing goes with another, they look good together or seems to work well together."
go without,to not have something that you used to have because conditions have changed and it's no longer available or affordable,go without,go without,go without | to not have something that you used to have because conditions have changed and it's no longer available or affordable
grow on,"If something grows on you, you gradually start to like it, even though you didn't like it much at first.",grow on,grow on,"grow on | If something grows on you, you gradually start to like it, even though you didn't like it much at first."
grow out of,"If you grow out of something, you become too big for it or too old for it.",grow out of,grow out of,"grow out of | If you grow out of something, you become too big for it or too old for it."
grow up,"to change from being a child to being an adult, or from being an immature adult to being a mature adult",grow up,grow up,"grow up | to change from being a child to being an adult, or from being an immature adult to being a mature adult"
hammer out,to reach an agreement or solution after a lot of negotiation or discussion,hammer out,hammer out,hammer out | to reach an agreement or solution after a lot of negotiation or discussion
hand around,"If you hand around things like drinks or cakes, you give one to each person in a group.",hand around,hand around,"hand around | If you hand around things like drinks or cakes, you give one to each person in a group."
hand back,to give something back to someone by hand,hand back,hand back,hand back | to give something back to someone by hand
hand down,to pass knowledge or skills from one generation to the next,hand down,hand down,hand down | to pass knowledge or skills from one generation to the next
hand in,"If you hand something in, you give it to someone in authority, like a teacher, a policeman or a security guard.",hand in,hand in,"hand in | If you hand something in, you give it to someone in authority, like a teacher, a policeman or a security guard."
hand on,"If you hand something on, you pass it to somebody else.",hand on,hand on,"hand on | If you hand something on, you pass it to somebody else."
hand out,to give something directly to a number of people,hand out,hand out,hand out | to give something directly to a number of people
hand over,"If you hand something over, you give it to someone who has demanded it.",hand over,hand over,"hand over | If you hand something over, you give it to someone who has demanded it."
hang around INFORMAL,to spend time somewhere without doing anything useful,hang around,hang around,hang around | to spend time somewhere without doing anything useful
hang on (1),"If you hang on to something, you hold it tightly.",hang on (1),hang on,"hang on | If you hang on to something, you hold it tightly."
hang on (2) INFORMAL,"If someone tells you to hang on, they want you to wait for a moment.",hang on (2),hang on,"hang on | If someone tells you to hang on, they want you to wait for a moment."
hang onto INFORMAL,"If you hang onto something, you keep it instead of throwing it away, giving it away, or selling it.",hang onto,hang onto,"hang onto | If you hang onto something, you keep it instead of throwing it away, giving it away, or selling it."
hang out (1),to hang wet clothes outside to dry,hang out (1),hang out,hang out | to hang wet clothes outside to dry
hang out (2) INFORMAL,"to spend time in a certain place, or with certain people",hang out (2),hang out,"hang out | to spend time in a certain place, or with certain people"
hang over,"If you feel that you are facing a threat or a danger, we can say the threat or the danger hangs over you.",hang over,hang over,"hang over | If you feel that you are facing a threat or a danger, we can say the threat or the danger hangs over you."
hang up,"If you hang up a piece of clothing or a towel, you hang it on a hook, a rail, a hanger, etc.",hang up,hang up,"hang up | If you hang up a piece of clothing or a towel, you hang it on a hook, a rail, a hanger, etc."
hang with INFORMAL,to spend time with,hang with,hang with,hang with | to spend time with
happen to,"If something happens to you, an event or an occurrence affects you directly.",happen to,happen to,"happen to | If something happens to you, an event or an occurrence affects you directly."
have against,"If you have something against someone, you don't like them because of something they've said or done in the past.",have against,have against,"have against | If you have something against someone, you don't like them because of something they've said or done in the past."
have on (1),"If you have something on, you are wearing it.",have on (1),have on,"have on | If you have something on, you are wearing it."
have on (2),"If you have something on at a certain time, you've arranged to do something at that time.",have on (2),have on,"have on | If you have something on at a certain time, you've arranged to do something at that time."
have out,"If you have something out, like a tooth or an organ, it's removed from your body.",have out,have out,"have out | If you have something out, like a tooth or an organ, it's removed from your body."
have round,"If you have people round, they visit your home, usually for a meal or for a social gathering.",have round,have round,"have round | If you have people round, they visit your home, usually for a meal or for a social gathering."
head for,to go in a certain direction or towards a particular place or situation,head for,head for,head for | to go in a certain direction or towards a particular place or situation
head off (1) INFORMAL,to leave a place,head off (1),head off,head off | to leave a place
head off (2),to stop something bad from happening,head off (2),head off,head off | to stop something bad from happening
head up,"to act as the head of a group or team, or to manage an organization",head up,head up,"head up | to act as the head of a group or team, or to manage an organization"
hear about,"If you hear about something, someone tells you about it or you find out about it from an information source like the news media.",hear about,hear about,"hear about | If you hear about something, someone tells you about it or you find out about it from an information source like the news media."
hear from,"If you hear from someone, they call you, email you or contact you in some other way.",hear from,hear from,"hear from | If you hear from someone, they call you, email you or contact you in some other way."
hear of,"If you've heard of someone, you know who they are and what they do.",hear of,hear of,"hear of | If you've heard of someone, you know who they are and what they do."
hear out,"If you hear somebody out, you listen to them until they've finished what they are saying.",hear out,hear out,"hear out | If you hear somebody out, you listen to them until they've finished what they are saying."
heat up (1),"If you heat something up, you make it hotter.",heat up (1),heat up,"heat up | If you heat something up, you make it hotter."
heat up (2),"If something like a discussion, a contest or a conflict heats up, it gets more intense, more exciting or more dangerous.",heat up (2),heat up,"heat up | If something like a discussion, a contest or a conflict heats up, it gets more intense, more exciting or more dangerous."
help out,"If you help someone out, you do something to help them.",help out,help out,"help out | If you help someone out, you do something to help them."
hem in,"to restrict someone's movement, or to limit someone's freedom",hem in,hem in,"hem in | to restrict someone's movement, or to limit someone's freedom"
hide away,"If you hide away, you go to a place where very few people can find you.",hide away,hide away,"hide away | If you hide away, you go to a place where very few people can find you."
hit back,"If someone is beating or attacking you and you hit back, you fight to defend yourself.",hit back,hit back,"hit back | If someone is beating or attacking you and you hit back, you fight to defend yourself."
hit on,to have a idea or to think of something,hit on,hit on,hit on | to have a idea or to think of something
hold against,"to dislike somebody, or be angry with them, because you blame them for something bad that happened in the past",hold against,hold against,"hold against | to dislike somebody, or be angry with them, because you blame them for something bad that happened in the past"
hold back,"to stop someone or something from going forward, or from progressing in some way",hold back,hold back,"hold back | to stop someone or something from going forward, or from progressing in some way"
hold down,to stop something from rising by pressing down on it or putting a heavy object on it,hold down,hold down,hold down | to stop something from rising by pressing down on it or putting a heavy object on it
hold forth FORMAL,"to talk about a topic for a long time, often in a way that other people find boring",hold forth,hold forth,"hold forth | to talk about a topic for a long time, often in a way that other people find boring"
hold off,to delay doing something until a later time,hold off,hold off,hold off | to delay doing something until a later time
hold on (1),to hold something like a railing or an overhead strap so you don't fall over,hold on (1),hold on,hold on | to hold something like a railing or an overhead strap so you don't fall over
hold on (2),to wait for a short time,hold on (2),hold on,hold on | to wait for a short time
hold out (1),"If you hold something out, you hold it where other people can reach it.",hold out (1),hold out,"hold out | If you hold something out, you hold it where other people can reach it."
hold out (2),"If a supply of something holds out, it continues to be enough and it doesn't run out.",hold out (2),hold out,"hold out | If a supply of something holds out, it continues to be enough and it doesn't run out."
hold out for,"to wait until you get what you want, especially when negotiating",hold out for,hold out for,"hold out for | to wait until you get what you want, especially when negotiating"
hold out on,to refuse to give information to someone,hold out on,hold out on,hold out on | to refuse to give information to someone
hold to,to make someone do what they promised or agreed to do,hold to,hold to,hold to | to make someone do what they promised or agreed to do
hold up (1),"to cause a delay, or make someone or something later than expected",hold up (1),hold up,"hold up | to cause a delay, or make someone or something later than expected"
hold up (2),to support something and stop it from falling down,hold up (2),hold up,hold up | to support something and stop it from falling down
hold up (3),to steal from someone while threatening them with a gun or a similar weapon,hold up (3),hold up,hold up | to steal from someone while threatening them with a gun or a similar weapon
hook up (1),"If you hook up things like computers and their peripherals, or the components of a home theatre, you connect them with cables.",hook up (1),hook up,"hook up | If you hook up things like computers and their peripherals, or the components of a home theatre, you connect them with cables."
hook up (2) INFORMAL,"to meet with someone and join with them in work, travel or leisure activities",hook up (2),hook up,"hook up | to meet with someone and join with them in work, travel or leisure activities"
hunt down,"If you hunt down someone, you try to find them and capture or kill them.",hunt down,hunt down,"hunt down | If you hunt down someone, you try to find them and capture or kill them."
hurry up,"If you hurry up, you try to do something faster.",hurry up,hurry up,"hurry up | If you hurry up, you try to do something faster."
hush up,"to try to keep something secret, especially something that could damage the reputation of a person or an organization",hush up,hush up,"hush up | to try to keep something secret, especially something that could damage the reputation of a person or an organization"
identify with,"If you identify with someone, you feel you have a connection with them and you can understand them and share their feelings.",identify with,identify with,"identify with | If you identify with someone, you feel you have a connection with them and you can understand them and share their feelings."
impact on,to have a significant effect on something,impact on,impact on,impact on | to have a significant effect on something
impose on,"If you impose something on someone, you force them to accept it even if they don't want to.",impose on,impose on,"impose on | If you impose something on someone, you force them to accept it even if they don't want to."
improve on,"If something is improved on, it's made better than it was.",improve on,improve on,"improve on | If something is improved on, it's made better than it was."
incline to FORMAL,"If somebody inclines to something such as a certain way of thinking, they will usually think in that way.",incline to,incline to,"incline to | If somebody inclines to something such as a certain way of thinking, they will usually think in that way."
indulge in,"to do something that gives you pleasure, even though there could be some negative consequences",indulge in,indulge in,"indulge in | to do something that gives you pleasure, even though there could be some negative consequences"
infer from,to believe something is true because you have some indirect evidence of it,infer from,infer from,infer from | to believe something is true because you have some indirect evidence of it
inject into,to add something positive in order to make something work better,inject into,inject into,inject into | to add something positive in order to make something work better
insist on,"If you insist on something, you say that you must have it or it must be done.",insist on,insist on,"insist on | If you insist on something, you say that you must have it or it must be done."
instil in,to condition someone to follow a certain belief or to behave in a certain way,instil in,instil in,instil in | to condition someone to follow a certain belief or to behave in a certain way
interest in,"If you interest somebody in something, you make them want to know more about it.",interest in,interest in,"interest in | If you interest somebody in something, you make them want to know more about it."
interfere with,to prevent something from happening in the usual way or stop it from developing normally,interfere with,interfere with,interfere with | to prevent something from happening in the usual way or stop it from developing normally
invest in (1),to put your energy and resources into something that you think will help you to achieve your goal,invest in (1),invest in,invest in | to put your energy and resources into something that you think will help you to achieve your goal
invest in (2),to put your money into a company or a business venture in order to get a share of any profit it makes,invest in (2),invest in,invest in | to put your money into a company or a business venture in order to get a share of any profit it makes
invite around,"If you invite somebody around, you invite them to your home for a meal, or a party, or a game of cards, etc.",invite around,invite around,"invite around | If you invite somebody around, you invite them to your home for a meal, or a party, or a game of cards, etc."
invite in,"If you invite somebody in, you ask them to come inside.",invite in,invite in,"invite in | If you invite somebody in, you ask them to come inside."
invite out,"If you invite somebody out, you ask them to go to a restaurant with you, or to see a movie, or go dancing, etc.",invite out,invite out,"invite out | If you invite somebody out, you ask them to go to a restaurant with you, or to see a movie, or go dancing, etc."
invite over,"If you invite somebody over, you invite them to your home, usually for a meal.",invite over,invite over,"invite over | If you invite somebody over, you invite them to your home, usually for a meal."
involve in,"If you involve yourself in something, or if someone else involves you in something, you take part in it.",involve in,involve in,"involve in | If you involve yourself in something, or if someone else involves you in something, you take part in it."
iron out,"If you iron out the last details of a deal, you sort out the final problems or issues.",iron out,iron out,"iron out | If you iron out the last details of a deal, you sort out the final problems or issues."
itching for,"If you're itching for something, you really want it.",itching for,itching for,"itching for | If you're itching for something, you really want it."
jack up (1) INFORMAL,to increase the price or the cost of something by a large amount,jack up (1),jack up,jack up | to increase the price or the cost of something by a large amount
